Player_ID,Position
202395,Guard
2443,Forward
2574,Forward
200764,Forward
200772,Forward-Guard
202380,Center
2137,Guard-Forward
711,Forward
201960,Forward
202360,Guard
202342,Forward
693,Forward-Center
200839,Forward
101177,Center
202377,Forward-Guard
1498,Guard
2556,Guard
202374,Center
202408,Forward
2050,Guard
101158,Guard
201607,Forward
101120,Forward-Guard
202354,Center
101249,Guard
200822,Forward
2648,Forward
689,Center
2250,Forward
1730,Forward-Center
202371,Forward
202355,Center
202681,Guard
202688,Guard
202691,Guard
202689,Guard
202738,Guard
202705,Guard
202718,Forward
202682,Forward
202697,Guard
201973,Forward
202695,Forward
202684,Center-Forward
202702,Forward-Center
202693,Forward
202690,Guard
202708,Guard
201937,Guard
202692,Guard
101123,Guard-Forward
201274,Forward
202687,Center
202970,
202698,Forward
202683,Center
202724,Guard
202696,Center
2457,Guard
202686,Forward
202714,Guard
202720,Forward
202699,Forward
202719,Forward
202716,Center
202388,Guard
202726,Guard
202730,Forward-Center
202701,Guard
202498,Forward
101187,Forward-Guard
202725,Forward-Center
201880,Center
202809,Guard
202704,Guard
2224,Guard
202951,Guard
202706,Guard-Forward
202707,Forward
202734,Guard
202710,Forward
101189,Forward
202343,Guard
201041,Guard
202227,Guard
202874,Forward
202406,Guard
202729,Guard
202723,Guard
202709,Guard
202717,Forward
202148,Center
2229,Guard
202721,Guard
202731,Forward
202350,Center
202366,Center
202694,Forward
201157,Forward-Center
202933,Guard
202622,Guard
201965,Forward-Center
202732,Guard
2201,Center
2668,Forward
201291,Guard
202458,Guard
1630,Forward-Center
201208,Center
202712,Forward
202715,Forward
202814,Forward
201286,Forward
202775,Forward-Guard
202962,Center
201165,Guard
202727,
2765,Guard
202810,Guard-Forward
1716,Guard
202918,Guard
201336,Guard
201182,Guard-Forward
202385,Forward
202536,Guard
101235,Guard
202862,Forward
202359,Guard
202880,Center-Forward
202952,Forward
202728,Forward-Center
203081,Guard
203079,Guard
203076,Forward-Center
203078,Guard
203084,Forward
202713,Forward
203077,Forward
203144,Guard
203090,Forward-Guard
203092,Forward-Center
203094,Forward
203148,Guard
202685,Center
200782,Forward
203142,Forward
203083,Center
203106,
203082,Guard-Forward
203109,Forward
203089,Forward-Center
203085,Guard
203086,Forward-Center
203098,Guard
203080,Forward
203115,Guard
201986,Guard
203143,Guard
203096,Center-Forward
202700,Forward-Center
203199,Forward
203124,Center-Forward
201976,Guard
203110,Forward
203111,Guard
203095,Guard-Forward
203105,Center
203141,Forward
201964,
203118,Forward
101153,Forward
203102,Forward
203114,Forward
203117,Guard
739,Forward-Center
203088,Guard
200777,Center-Forward
203108,Center
200778,Guard-Forward
203145,Guard-Forward
203119,Guard
203121,Forward
203112,Forward
203093,Forward
203104,Guard
203158,Forward
203100,Guard
203103,Forward
203116,Guard
203139,Center
203146,Guard
203087,Guard-Forward
101183,Forward
203162,Guard
203382,Center-Forward
203135,Center
203200,Forward-Guard
203197,Guard
203129,Forward
203187,Forward
202545,Forward-Center
203099,Guard
203122,Guard
203101,Center
203126,Forward
203113,Forward
202363,Forward-Center
203159,Guard
203097,Center
203006,Guard
203156,Center-Forward
203317,Center-Forward
203203,Guard
101215,Guard
203130,Guard
203487,Guard
203506,Guard
203504,Guard
203501,Guard-Forward
203463,Guard
203482,Forward-Center
203507,Forward
203486,Forward-Center
203469,Forward-Center
203527,Forward
203484,Guard
203138,Forward
203489,Guard
203544,Forward-Center
201979,Guard
203503,Guard
203521,Guard
203476,Center
203492,Guard
203500,Center
203461,Forward
203515,Guard
203468,Guard
203462,Guard
203481,Center
203471,Guard
203545,Center
203133,Forward
203543,Center
203561,Forward
203498,Guard-Forward
203315,Forward
203499,Guard
203493,Guard-Forward
203497,Center
203477,Guard
203473,Center
203458,Center
203540,Forward
203490,Forward
203488,Forward-Center
203460,Guard-Forward
203539,Guard
202091,
203546,Guard
201141,Center
203485,Guard
203268,Guard
203491,Guard
203810,
203524,Forward
203263,Forward
202779,Guard
203584,Guard
203479,Guard
203508,Guard-Forward
203459,Guard-Forward
203318,Guard-Forward
203120,Center
203517,Guard
203569,Guard
203502,
203467,Guard-Forward
203495,Guard
203496,Forward
203136,Center
203519,Guard-Forward
203480,Forward
203474,Guard-Forward
203513,Forward
203183,Forward
203505,Guard
202620,Forward-Center
203552,Guard
202197,Forward
203816,Guard-Forward
203147,Guard
203548,Forward
203091,Forward
203952,Forward
202703,Forward
203897,Guard
203457,Center-Forward
203901,Guard
203903,Guard
202711,Forward
204038,Guard
203935,Guard
203909,Guard-Forward
203918,Guard-Forward
203994,Center
203924,Forward
204060,Forward-Guard
203957,Guard
203960,Forward
204028,Forward-Center
204014,Forward
203917,Guard
203516,Forward
203953,Forward
203894,Guard
203798,Forward-Guard
202407,Guard-Forward
203933,Forward
203932,Forward
203913,Guard
203900,Guard
203940,Forward
203921,Forward
203956,Forward
204037,Forward
204020,Guard
203914,Guard
203928,Forward
203123,Forward
203475,Guard
203915,Guard
203925,Guard-Forward
203898,Guard
203926,Forward
203923,Guard-Forward
203948,Forward
203919,Guard
203128,Forward-Center
203530,Center
203939,Forward-Center
203943,Forward
203955,Guard
203937,Forward-Guard
203910,Guard
203922,Forward
203210,Forward-Center
203949,Forward
203950,Forward-Center
203963,Forward-Center
204025,Guard
203580,Guard
203912,Guard
203906,Forward
203991,Center
203893,Guard
204054,Guard-Forward
204022,Center-Forward
203930,Guard
204079,Center-Forward
203511,Forward
203805,
203998,Forward
203946,Forward-Center
202077,Guard
204065,Guard
203512,Center
203565,
203945,Center
203958,Guard
203961,Forward-Center
203944,Forward-Center
204021,Center
204033,Forward
203968,
203564,Guard
1626157,Center-Forward
1626156,Guard
1626164,Guard
204001,Forward-Center
1626143,Center-Forward
1626144,Guard
203999,Center
1626167,Center-Forward
1626163,Forward-Center
1626169,Forward-Guard
1626159,Forward-Guard
204456,Guard
1626168,Forward
1626209,Forward-Guard
203526,Guard
1626161,Center
1626171,Forward
1626170,Guard
1626204,Forward-Center
1626196,Guard
203613,Forward
202357,Forward
1626246,Center
1626158,Forward
1626166,Guard
1626181,Guard
1626273,Guard
1626162,Forward-Guard
1626173,Guard
1626147,Forward-Guard
203186,Center
1626178,Forward
1626145,Guard
1626202,Guard
1626185,Forward
1626199,Guard
1626149,Forward-Center
1626257,Center
1626148,Forward-Guard
1626191,Forward
1626245,Forward-Center
1626153,Guard
203895,Guard
1626154,Guard
203934,Guard-Forward
204098,Guard
1626214,Guard
1626253,Guard-Forward
1626179,Guard
204067,Guard-Forward
1626174,Forward
203996,Forward
1626192,Guard
1627362,Guard
1626210,Forward-Center
204002,Center
202353,Center
201619,Center
1627293,Forward
1626175,Center-Forward
1626151,Guard
203962,Guard
1626242,Guard
1626146,Forward
1626172,Forward
1626262,Forward
1626251,Forward
203951,Guard
203648,Forward
1626183,Forward
1626176,Forward
1626266,Forward
1626155,Forward
203967,Forward-Center
1627741,Guard
1627750,Guard
1627763,Guard
1627737,Forward
1627742,Forward
203954,Center-Forward
1626195,Center-Forward
1627785,Guard
200771,Guard
1627759,Guard-Forward
203585,Guard
1627734,Forward-Center
1627747,Guard
1627812,Guard
1627789,Guard-Forward
1627755,Guard
1626150,Guard
1627851,Forward
203518,Guard
1627098,Guard
1627827,Forward
1627752,Forward
1627823,Forward
202722,Forward
1627739,Guard
1627756,Guard
1627746,Forward-Center
1627826,Center
1627775,Guard
1627835,Forward
1627783,Forward
1627748,Forward-Center
1627758,Guard
1627786,Forward
203902,Guard
1627884,Forward
1627770,Guard
1627751,Center
203107,Guard
1627852,Forward
1627848,Forward
1627733,Forward
1626184,Guard
1627749,Guard
1627834,Center
1628021,Guard-Forward
1627832,Guard
1626780,Guard
1627735,Guard
1627761,Guard-Forward
1626254,Forward
1627855,Forward
1627854,Guard
1627815,Guard-Forward
1627767,Forward-Center
1627736,Guard
1627781,Guard
1626188,Guard
1627774,Forward
1627782,Guard
1627816,Forward
201628,Guard
1627740,Forward-Center
1627879,Guard
1627738,Center-Forward
1626203,Guard-Forward
1627773,Center
1627784,Forward
1627850,Center
203510,Guard
1627817,Guard
1627849,Forward
1627757,Center
