Player_ID,Position
1630215,Guard
1630231,Forward
1641738,Forward
200782,Forward
1630572,Forward-Center
1629014,Guard
1631200,Forward
1629717,Guard
1631222,Forward
1641716,Forward
1630556,Forward
1628467,Forward
1641765,Forward
1631306,Forward
1629004,Guard-Forward
203458,Center
1631220,Guard
1631169,Forward
1631107,Forward
1629052,Forward-Guard
1630639,Guard
1641720,Guard
1631197,Guard
1630568,Center
1631466,Guard
1629599,Guard-Forward
1641734,Forward
1629726,Guard
1628385,Forward-Center
1629674,Center
1630846,Center
203493,Guard-Forward
1629643,Forward
202066,Guard-Forward
1626246,Center
1631123,Guard
1641793,Guard
1627745,Center
1630205,Forward
1630207,Guard-Forward
1630227,Guard
1628984,Guard
1631230,Forward
202693,Forward
203648,Forward
1631104,Guard
1628981,Forward-Center
1629610,Guard-Forward
1631207,Forward
1630259,Guard
1641763,Forward
1631303,Forward
1630197,Forward
1630658,Center
1631257,Forward
1629650,Center
1630240,Guard
1641707,Forward
1629678,Forward
1641753,Forward
1630547,Guard
1630579,Center
1629162,Guard
1641757,Guard
1641778,Forward
1631311,Guard
1641712,Guard-Forward
1641788,Forward
1641926,Guard
1630604,Forward
1630611,Forward
1641771,Forward
201152,Forward
1630235,Guard
1629660,Guard-Forward
1630296,Forward
1629685,Guard-Forward
1630196,Center
201988,Guard
1631102,Guard
1641735,Guard
1629626,Center-Forward
203095,Guard-Forward
1641816,Forward
1630600,Forward
1630643,Center
1641724,Guard
1631159,Forward
1641806,Guard
201577,Center
1627885,Guard
1630678,Forward
1628962,Center-Forward
1641727,Forward
1629020,Forward
1641723,Guard
1641729,Forward
1629718,Guard
201980,Guard
1641713,Forward
1630688,Forward
1631210,Forward
1630592,Forward
1629010,Guard
1629232,Forward
1641749,Forward
1629623,Guard
1630608,Guard
1629716,Center
1641721,Forward
1631243,Forward
1641730,Forward
1641931,Forward
1631116,Forward
1630181,Guard
1631199,Guard-Forward
1627853,Guard
1631321,Guard
1631111,Guard
