PLAYER_ID,PLAYER,TEAM_ID,TEAM,GP,FG_PCT,FG3_PCT,FT_PCT,REB,AST,STL,BLK,TOV,PTS,EFF,AST_TOV,PPG,RPG,APG,SPG,BPG,TPG,YEAR,POSITION,season_start_year,WinPCT,Start_Year,TeamID,is_all_nba
1628960,Grayson Allen,1610612756,PHX,19,0.481,0.468,0.895,86,55,13,8,28,234,280,1.96,12.31578947368421,4.526315789473684,2.8947368421052633,0.6842105263157895,0.42105263157894735,1.4736842105263157,2023-24,Guard,2023,0.571,2023,1610612756,False
1629006,Josh Okogie,1610612756,PHX,21,0.424,0.25,0.776,74,22,20,9,18,140,177,1.22,6.666666666666667,3.5238095238095237,1.0476190476190477,0.9523809523809523,0.42857142857142855,0.8571428571428571,2023-24,Guard,2023,0.571,2023,1610612756,False
1629234,Drew Eubanks,1610612756,PHX,20,0.596,1.0,0.833,88,29,4,21,23,133,211,1.26,6.65,4.4,1.45,0.2,1.05,1.15,2023-24,Forward-Center,2023,0.571,2023,1610612756,False
1630692,Jordan Goodwin,1610612756,PHX,21,0.395,0.356,0.813,81,42,15,6,16,132,182,2.63,6.285714285714286,3.857142857142857,2.0,0.7142857142857143,0.2857142857142857,0.7619047619047619,2023-24,Guard,2023,0.571,2023,1610612756,False
1628966,Keita Bates-Diop,1610612756,PHX,18,0.414,0.273,0.767,59,16,12,15,4,104,144,4.0,5.777777777777778,3.2777777777777777,0.8888888888888888,0.6666666666666666,0.8333333333333334,0.2222222222222222,2023-24,Forward,2023,0.571,2023,1610612756,False
1629642,Nassir Little,1610612756,PHX,15,0.483,0.333,0.875,33,11,9,8,6,83,105,1.83,5.533333333333333,2.2,0.7333333333333333,0.6,0.5333333333333333,0.4,2023-24,Forward-Guard,2023,0.571,2023,1610612756,False
1629139,Yuta Watanabe,1610612756,PHX,15,0.364,0.365,0.692,35,8,6,6,13,76,72,0.61,5.066666666666666,2.3333333333333335,0.5333333333333333,0.4,0.4,0.8666666666666667,2023-24,Guard-Forward,2023,0.571,2023,1610612756,False
203078,Bradley Beal,1610612756,PHX,3,0.391,0.333,0.688,16,11,2,1,9,52,40,1.22,17.333333333333332,5.333333333333333,3.6666666666666665,0.6666666666666666,0.3333333333333333,3.0,2023-24,Guard,2023,0.571,2023,1610612756,False
1629002,Chimezie Metu,1610612756,PHX,11,0.5,0.333,0.75,15,4,1,3,3,28,36,1.33,2.5454545454545454,1.3636363636363635,0.36363636363636365,0.09090909090909091,0.2727272727272727,0.2727272727272727,2023-24,Forward-Center,2023,0.571,2023,1610612756,False
1630240,Saben Lee,1610612756,PHX,3,0.5,0.0,0.0,3,3,0,1,0,6,10,0.0,2.0,1.0,1.0,0.0,0.3333333333333333,0.0,2023-24,Guard,2023,0.571,2023,1610612756,False
1629626,Bol Bol,1610612756,PHX,3,1.0,0.0,0.0,1,0,0,1,2,2,2,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.3333333333333333,0.6666666666666666,2023-24,Center-Forward,2023,0.571,2023,1610612756,False
1628962,Udoka Azubuike,1610612756,PHX,2,1.0,0.0,0.0,4,0,0,0,0,2,6,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2023-24,Center-Forward,2023,0.571,2023,1610612756,False
203999,Nikola Jokic,1610612743,DEN,20,0.568,0.301,0.781,255,196,24,16,58,579,811,3.38,28.95,12.75,9.8,1.2,0.8,2.9,2023-24,Center,2023,0.667,2023,1610612743,False
1629008,Michael Porter Jr.,1610612743,DEN,21,0.476,0.381,0.742,169,37,11,17,25,366,412,1.48,17.428571428571427,8.047619047619047,1.7619047619047619,0.5238095238095238,0.8095238095238095,1.1904761904761905,2023-24,Forward,2023,0.667,2023,1610612743,False
202704,Reggie Jackson,1610612743,DEN,21,0.509,0.407,0.643,51,95,16,7,35,285,297,2.71,13.571428571428571,2.4285714285714284,4.523809523809524,0.7619047619047619,0.3333333333333333,1.6666666666666667,2023-24,Guard,2023,0.667,2023,1610612743,False
203484,Kentavious Caldwell-Pope,1610612743,DEN,21,0.451,0.407,0.927,43,58,35,9,28,235,249,2.07,11.19047619047619,2.0476190476190474,2.761904761904762,1.6666666666666667,0.42857142857142855,1.3333333333333333,2023-24,Guard,2023,0.667,2023,1610612743,False
203932,Aaron Gordon,1610612743,DEN,17,0.495,0.231,0.52,122,64,18,15,30,227,294,2.13,13.352941176470589,7.176470588235294,3.764705882352941,1.0588235294117647,0.8823529411764706,1.7647058823529411,2023-24,Forward,2023,0.667,2023,1610612743,False
1631128,Christian Braun,1610612743,DEN,21,0.474,0.412,0.73,88,42,8,5,15,187,224,2.8,8.904761904761905,4.190476190476191,2.0,0.38095238095238093,0.23809523809523808,0.7142857142857143,2023-24,Guard,2023,0.667,2023,1610612743,False
1627750,Jamal Murray,1610612743,DEN,8,0.414,0.425,0.875,24,58,2,5,16,130,135,3.63,16.25,3.0,7.25,0.25,0.625,2.0,2023-24,Guard,2023,0.667,2023,1610612743,False
1631124,Julian Strawther,1610612743,DEN,18,0.382,0.322,0.7,22,18,5,5,3,94,83,6.0,5.222222222222222,1.2222222222222223,1.0,0.2777777777777778,0.2777777777777778,0.16666666666666666,2023-24,Guard,2023,0.667,2023,1610612743,False
1631212,Peyton Watson,1610612743,DEN,19,0.507,0.211,0.5,36,14,10,19,11,86,110,1.27,4.526315789473684,1.894736842105263,0.7368421052631579,0.5263157894736842,1.0,0.5789473684210527,2023-24,Guard,2023,0.667,2023,1610612743,False
1630192,Zeke Nnaji,1610612743,DEN,19,0.49,0.429,0.607,44,8,3,10,10,70,88,0.8,3.6842105263157894,2.3157894736842106,0.42105263157894735,0.15789473684210525,0.5263157894736842,0.5263157894736842,2023-24,Forward-Center,2023,0.667,2023,1610612743,False
